"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"89","Million Dollars Worth of Game (feat. 42 Dugg)","2 Chainz",0.81,0.68,2,-4.871,0.346,0.0059,0,0.112,0.419,97.02,"6C0vyXq2uzFRTTLcE4whhl",158627,4,2022-03-31
"90","Tunnel of You","Cannons",0.657,0.683,9,-8.051,0.0302,0.00108,0.147,0.214,0.633,97.993,"1KX30hHDvpBRvm3JXxtYEY",263418,4,2022-03-31
"91","WATERBOYZ (with JID & J. Cole)","EARTHGANG",0.842,0.657,6,-4.349,0.224,0.00428,0,0.112,0.707,140.057,"1KyXCd04yHni5pMGFwgzuE",303400,4,2022-03-31
"92","3 outfits","Tai Verdes",0.65,0.88,11,-4.292,0.15,0.145,0.00223,0.351,0.648,176.017,"78zWCikDMYzFpXAdqANPrD",210867,4,2022-03-31
"93","Rumors (feat. Lil Durk)","Gucci Mane",0.688,0.842,2,-4.211,0.264,0.0499,0,0.241,0.416,159.897,"0P2P1AxcRYhiZvoF5MyRmM",185856,4,2022-03-31
"94","Serotonin","Nic D",0.81,0.497,1,-7.755,0.0647,0.0333,0,0.111,0.343,139.988,"1FUQZYqWRVL8eaQd7uENlz",151301,4,2022-03-31
"95","Slow Down Summer","Thomas Rhett",0.464,0.755,4,-5.707,0.0354,0.00838,0,0.0989,0.449,155.973,"1fff5nZGyRJtFLkOrSSwOU",216764,4,2022-03-31
"96","Afraid of Love","Cheat Codes",0.787,0.663,11,-5.484,0.0576,0.0285,0,0.176,0.485,116.975,"36bE2OPOL9wwxAuFEjigbZ",151515,4,2022-03-31
"97","23","Sam Hunt",0.641,0.78,3,-5.138,0.0852,0.0206,0,0.143,0.693,98.004,"4PuAqZlL1tkidkuxfDlLbF",179720,4,2022-03-31
"98","Wild Child","The Black Keys",0.68,0.639,5,-6.233,0.0278,0.017,5.09e-06,0.0398,0.957,106.991,"0dgAZ1j5irH1FlA5WrpHW4",164867,4,2022-03-31
"99","Too Late (with Dirty Heads)","Shwayze",0.711,0.689,9,-6.949,0.0424,0.122,0,0.0754,0.617,90.042,"3jaaCjDmM9wMEr42mMqrPo",157085,4,2022-03-31
"100","Free The Shiners","42 Dugg",0.663,0.698,11,-7.448,0.267,0.0233,0,0.403,0.535,154.153,"5NMWPokmUZIX1ySu7YLF74",124800,4,2022-03-31
"101","Dark Magician","Young Gibby",0.724,0.49,1,-8.339,0.152,0.00271,0,0.105,0.438,159.993,"4mA4y5IdQ4z0uWTfHcmC9v",145634,4,2022-03-24
"102","Shotgun Love","Lindsay Capuano",0.621,0.501,11,-9.106,0.041,0.0866,0,0.0744,0.214,75.999,"2eMRPZoofnqAMkWwVBPheT",145263,4,2022-03-24
"103","Love Letter (feat. The Knocks)","ODESZA",0.635,0.835,8,-2.876,0.0589,0.0948,0.0119,0.285,0.216,109.987,"26wuBc04catG1QQyYupr35",253122,4,2022-03-24
"104","Open Your Mind","Big Gigantic",0.75,0.912,5,-2.17,0.176,0.0354,0.000377,0.766,0.612,146.179,"1ztnDy21iJOc5eH7wvbEeV",174247,4,2022-03-24
"105","Believe","Caamp",0.516,0.635,3,-8.024,0.0347,0.0324,0.00187,0.0674,0.704,150.067,"0QFGZqqB1KDpOtyL3vXMXo",195107,4,2022-03-24
"106","Cry (with Aluna)","Louis The Child",0.915,0.766,1,-5.503,0.054,0.0102,0.0625,0.129,0.687,120,"2HdEtRBwROKFsTiX2VTLCq",169434,4,2022-03-24
